Dia,Horário,Disciplina,Sala
Segunda,07:00 - 07:50,Português,02
Segunda,07:50 - 08:40,Ciência Tecnologia e Saúde,06
Segunda,08:40 - 09:50,Eletiva,
Segunda,09:50 - 10:40,Matemática,04
Segunda,10:40 - 11:30,Biologia,05
Segunda,11:30 - 12:20,Português,02
Terça,07:00 - 07:50,Português,02
Terça,07:50 - 08:40,Biologia,05
Terça,08:40 - 09:30,Matemática,04
Terça,09:50 - 10:40,Micro e Macro Química,06
Terça,10:40 - 11:30,Que Haja Luz,03
Terça,11:30 - 12:20,Matemática,04
Quarta,07:00 - 07:50,Português,02
Quarta,07:50 - 08:40,Ciência Tecnologia e Saúde,03
Quarta,08:40 - 09:30,Inglês,06
Quarta,09:50 - 10:40,Sociologia,06
Quarta,10:40 - 11:30,Projeto de Vida,06
Quarta,11:30 - 12:20,História,04
Quinta,07:00 - 07:50,Filosofia,03
Quinta,07:50 - 08:40,Matemática,01
Quinta,08:40 - 09:30,Geografia,07
Quinta,09:50 - 10:40,Química,02
Quinta,10:40 - 11:30,Estudo Orientado,02
Quinta,11:30 - 12:20,Que Haja Luz,04
Sexta,07:00 - 07:50,Física,04
Sexta,07:50 - 08:40,Matemática,01
Sexta,08:40 - 09:30,Português,02
Sexta,09:50 - 10:40,História,05
Sexta,10:40 - 11:30,Química,03
Sexta,11:30 - 12:20,Geografia,04
Domingo,07:00 - 07:50,Física / Que Haja Luz,04
Domingo,07:50 - 08:40,Matemática,01
Domingo,09:50 - 10:40,Português,02
Domingo,09:45 - 10:35,História,05
Domingo,22:17 - 22:18,Química,03
Domingo,23:10 - 23:50,Geografia,04
